original_title,budget,revenue,popularity,release_date,runtime,vote_average,vote_count,Genre1,Genre2,Genre3,Genre4,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,id,cast1,Actor1,Cast2,Actor2,cast3,Actor3,cast4,Actor4,original_language,tagline,homepage,title,overview,,status,production_companies1,production_companies2,production_companies3,production_companies4,production_companies5,production_companies6,production_companies7,production_companies8,production_companies9,production_companies10,production_companies11,production_countries Code 1,production_countries 1,production_countries Code 2,production_countries 2,production_countries Code 3,production_countries 3,production_countries code 4,production_countries 4,Spoken Language Code 1,Spoken Language 1,Spoken Language Code 2,Spoken Language 2,Spoken Language Code 3,Spoken Language 3,Spoken Language Code 4,Spoken Language 4,Spoken Language Code 5,Spoken Language 5,Spoken Language Code 6,Spoken Language 6,ProfitFactor
Prom Night,0,14796236,9.642041,10/4/08,88,4.8,167,Crime,Horror,,,aunt,remake,bloodonshirt,slasher,deathoffamily,masturbation,kickedintheface,renovation,blackstereotype,chest,,,,,,,,,,,,,,,,,8617,DonnaKeppel,BrittanySnow,Bobby,Claire,JessicaStroup,LisaHines,Michael,KellyBlatz,en,ANightToDieFor.,http://www.sonypictures.com/movies/promnight/,PromNight,"Donna'sseniorpromissupposedtobethebestnightofherlife,thoughasadistickillerfromherpasthasdifferentplansforherandherfriends.",,Released,AllianceFilms,,,,,,,,,,,US, United States of America,,,,,,,it,Italian,en,English,,,,,,,,,0
Mean Girls,17000000,129042871,36.423717,30/4/04,97,6.9,2320,Comedy,,,,femalefriendship,highschool,fishoutofwater,bestfriend,teenager,popularity,gossip,teencomedy,highschoolrivalry,newgirlatschool,,,,,,,,,,,,,,,,,10625,CadyHeron,LindsayLohan,ReginaGeorge,Mr.Duvall,TimMeadows,Cady'smom,Mrs.George,AmyPoehler,en,Welcometogirlworld.,http://www.meangirls.com/,MeanGirls,"CadyHeronisahitwithThePlastics,theA-listgirlcliqueathernewschool,untilshemakesthemistakeoffallingforAaronSamuels,theex-boyfriendofalphaPlasticReginaGeorge.",,Released,ParamountPictures,BroadwayVideo,M.G.Films,,,,,,,,,US, United States of America,,,,,,,sw,Swahili,en,English,de,German,vi,Vietnamese,,,,,1
Under the Tuscan Sun,0,0,12.309718,30/4/03,113,6.4,172,Comedy,Drama,Romance,,depression,toscana,recreation,author,divorce,womandirector,,,,,,,,,,,,,,,,,,,,,10934,Frances,DianeLane,Patti,Katherine,LindsayDuncan,Marcello,Martini,VincentRiotta,en,Lifeoffersyouathousandchances...allyouhavetodoistakeone.,,UndertheTuscanSun,"Afteraroughdivoce,Frances,a35yearoldbookeditorfromSanFranciscotakesatourofTuscanyattheurgingsofherfriends.OnawhimshebuysBramasole,arundownvillaintheTuscancountrysideandbeginstopieceherlifetogetherstartingwiththevillaandfindsthatlifesometimeshasunexpectedwaysofgivinghereverythingshewanted.",,Released,TimnickFilms,BlueGardeniaProductions,TouchstonePictures,TatialeFilms,,,,,,,,IT, Italy, US, United States of America,,,,,cs,Czech,en,English,fr,French,de,German,it,Italian,pl,Polish,0
Gosford Park,19800000,87754044,11.693272,7/11/01,137,6.8,246,Drama,Mystery,Thriller,,servant,money,shootingparty,,,,,,,,,,,,,,,,,,,,,,,,5279,Mrs.Wilson,HelenMirren,RobertParks,ConstanceTrentham,MaggieSmith,LouisaStockbridge,IvorNovello,JeremyNortham,en,Teaatfour.Dinnerateight.Murderatmidnight.,,GosfordPark,"Multiplestorylineddramasetin1932,showingthelivesofupstairsguestanddownstairsservantsatapartyinacountryhouseinEngland.",,Released,USAFilms,,,,,,,,,,,DE, Germany, GB, United Kingdom, US, United States of America,,,en,English,,,,,,,,,,,1
Peggy Sue Got Married,18000000,41382841,12.243887,5/10/86,103,5.9,136,Comedy,Drama,Fantasy,Romance,timetravel,highschoolreunion,,,,,,,,,,,,,,,,,,,,,,,,,10013,PeggySue,KathleenTurner,CharlieBodell,RichardNorvik,BarryMiller,CarolHeath,MaddyNagle,JoanAllen,en,"Knowingwhatyouknownow,whatwouldyoudodifferently?",,PeggySueGotMarried,"PeggySuefaintsataHighschoolreunion.Whenshewakesupshefindsherselfinherownpast,justbeforeshefinishedschool.",,Released,AmericanZoetrope,TriStarPictures,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Birdman,18000000,103215094,89.811154,27/8/14,119,7.4,4535,Drama,Comedy,,,timessquare,superhero,longtake,newyorkcity,play,broadway,actor,,,,,,,,,,,,,,,,,,,,194662,Riggan,MichaelKeaton,Sam,Jake,ZachGalifianakis,Lesley,Mike,EdwardNorton,en,or(TheUnexpectedVirtueofIgnorance),,Birdman,"AfadingactorbestknownforhisportrayalofapopularsuperheroattemptstomountacomebackbyappearinginaBroadwayplay.Asopeningnightapproaches,hisattemptstobecomemorealtruistic,rebuildhiscareer,andreconnectwithfriendsandfamilyprovemoredifficultthanexpected.",,Released,WorldviewEntertainment,NewRegencyPictures,TSGEntertainment,LeGrisbiProductions,MProductions,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Blue Jasmine,18000000,99206215,34.694216,25/7/13,98,7,1098,Comedy,Drama,,,sanfrancisco,sistersisterrelationship,newyorkcity,rich,narcissism,xanax,,,,,,,,,,,,,,,,,,,,,160588,JasmineFrancis,CateBlanchett,HalFrancis,Ginger,SallyHawkins,Chili,AlMunsinger,LouisC.K.,en,BlueMoon.Iusedtoknowthewords.Nowthey'reallajumble.,,BlueJasmine,"JasmineFrenchusedtobeonthetopoftheheapasaNewYorksocialite,butnowisreturningtoherestrangedsisterinSanFranciscoutterlyruined.AsJasminestruggleswithherhauntingmemoriesofaprivilegedpastbearingdarkrealitiessheignored,shetriestorecoverinherpresent.Unfortunately,itallprovesalosingbattleasJasmine'snarcissistichangupsandtheirconsequencesbegintooverwhelmher.Indoingso,heroldpretensionsandnewdeceitsbegintofoulupeveryone'slives,especiallyherown.",,Released,PerdidoProductions,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
United 93,15000000,76286096,17.50138,28/4/06,111,6.9,367,Drama,History,Crime,Thriller,airplane,hijacking,terrorcell,emergencylanding,waronterror,,,,,,,,,,,,,,,,,,,,,,9829,CaptainJasonDahl,J.J.Johnson,DeborahWelsh,SandraBradshaw,TrishGates,LorraineG.Bay,CeeCeeLyles,OpalAlladin,en,"September11,2001.Fourplaneswerehijacked.Threeofthemreachedtheirtarget.Thisisthestoryofthefourth.",,United93,"ArealtimeaccountoftheeventsonUnitedFlight93,oneoftheplaneshijackedon9/11thatcrashednearShanksville,Pennsylvaniawhenpassengersfoiledtheterroristplot.",,Released,UniversalPictures,StudioCanal,SidneyKimmelEntertainment,WorkingTitleFilms,,,,,,,,FR, France, GB, United Kingdom, US, United States of America,,,en,English,ar,Arabic,de,German,,,,,,,1
Honey,18000000,62646763,18.492655,24/11/03,94,6,303,Romance,Music,Family,,newyork,dancing,hip-hop,dream,dance,blackmail,harassment,career,video,teacher,business,sabotage,choreographer,club,harlem,youthcenter,,,,,,,,,,,10028,HoneyDaniels,JessicaAlba,Chaz,Gina,JoyBryant,Benny,MichaelEllis,DavidMoscow,en,Herdream.Herterms,,Honey,"HoneyDaniels(JessicaAlba)dreamsofmakinganameforherselfasahip-hopchoreographer.Whenshe'snotbusyhittingdowntownclubswithherfriends,sheteachesdanceclassesatanearbycommunitycenterinHarlem,N.Y.,asawaytokeepkidsoffthestreets.Honeythinksshe'shitthejackpotwhenshemeetsahotshotdirector(DavidMoscow)whocastsherinoneofhismusicvideos.But,whenhestartsdemandingsexualfavorsfromher,Honeymakesadecisionthatwillchangeherlife.",,Released,UniversalPictures,MarcPlattProductions,NuAmericaEntertainment,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Spy Hard,18000000,0,11.238522,24/5/96,81,4.9,147,Action,Comedy,,,atomicbomb,spoof,jamesbondspoof,,,,,,,,,,,,,,,,,,,,,,,,10535,DickSteele,LeslieNielsen,VeroniqueUkrinsky,TheDirector,CharlesDurning,MissCheevus,NormanColeman,BarryBostwick,en,Alltheaction.Allthewomen.Halftheintelligence.,,SpyHard,"TheevilGen.Rancorhashissightssetonworlddomination,andonlyonemancanstophim:DickSteele,alsoknownasAgentWD-40.Rancorneedstoobtainacomputercircuitforthemissilethatheisplanningtofire,soSteeleteamsupwithVeroniqueUkrinsky,aKGBagentwhosefatherdesignedthechip.Togethertheytrytolocatetheevilmastermind'sheadquarters,whereVeronique'sfatherandseveralotherhostagesarebeingheld.",,Released,HollywoodPictures,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
The Fog,1000000,21378361,14.518598,8/2/80,89,6.4,311,Horror,,,,prophecy,sea,beach,gold,smalltown,beheading,sword,narration,fog,leprosy,ship,lighthouse,church,,,,,,,,,,,,,,790,StevieWayne,AdrienneBarbeau,ElizabethSolley,KathyWilliams,JanetLeigh,JohnHouseman,NickCastle,TomAtkins,en,Lockyourdoors.Boltyourwindows.There'ssomethinginTHEFOG!,http://www.theofficialjohncarpenter.com/the-fog/,TheFog,"StrangethingsbegintooccursasatinyCaliforniacoastaltownpreparestocommemorateitscentenary.Inanimateobjectsspringeerilytolife;Rev.Malonestumblesuponadarksecretaboutthetown'sfounding;radioannouncerSteviewitnessesamysticalfire;andhitchhikerElizabethdiscoversthemutilatedcorpseofafisherman.Thenamysteriousiridescentfogdescendsuponthevillage,andmorepeoplestarttodie.",,Released,AVCOEmbassyPictures,EDI,DebraHillProductions,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Soul Surfer,18000000,47088990,19.234672,8/4/11,106,6.9,342,Action,Drama,,,competition,basedonnovel,sharkattack,surfing,biography,sport,duringcreditsstinger,,,,,,,,,,,,,,,,,,,,43959,BethanyHamilton,AnnaSophiaRobb,CheriHamilton,AlanaBlanchard,LorraineNicholson,SarahHill,TomHamilton,DennisQuaid,en,"Whenyoucomebackfromaloss,beattheodds,andneversaynever,youfindachampion.",http://www.soulsurferthemovie.com/,SoulSurfer,"SoulSurferistheinspiringtruestoryofteensurferBethanyHamilton.Bethanylostherleftarminasharkattackandcourageouslyovercamealloddstobecomeachampionagain,throughhersheerdeterminationandunwaveringfaith.Bethany(AnnaSophiaRobb)wasborntosurf.Anaturaltalentwhotooktothewavesatayoungage,shewasleadinganidylliclifeonKauai,participatinginnationalsurfcompetitionswithherbestfriendAlana(LorraineNicholson),wheneverythingchanged.OnHalloweenmorning,a14-foottigersharkcameoutofnowhereandseemedtoshatterallherdreams.SoulSurferrevealsBethany'sfighttorecoverfromherordealandhowshegrappledwiththequestionofherfuture.Strengthenedbytheloveofherparents,Tom(DennisQuaid)andCheri(HelenHunt),andsupportedbyheryouthgroupleaderSara(CarrieUnderwood),Bethanyrefusestogiveinorgiveup,andbeginsaboldreturntothewater.",,Released,MandalayPictures,TriStarPictures,Brookwell-McNamaraEntertainment,FilmDistrict,AffirmFilms,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Catch-22,18000000,24911670,4.504377,24/6/70,121,6.7,72,War,Comedy,Drama,,worldwarii,island,bomber,pianosa,american,,,,,,,,,,,,,,,,,,,,,,10364,CaptainJohnYossarian,AlanArkin,ColonelCathcart(CO,MajorDanby(FlightOperationsOfficer),RichardBenjamin,CaptainNately,Dr.\Doc\Daneeka,JackGilford,en,,,Catch-22,"AbombardierinWorldWarIItriesdesperatelytoescapetheinsanityofthewar.However,sometimesinsanityistheonlysanewaytocopewithacrazysituation.Catch-22isaparodyofa""militarymentality""andofabureaucraticsocietyingeneral.",,Released,ParamountPictures,FilmwaysProductions,,,,,,,,,,US, United States of America,,,,,,,en,English,it,Italian,,,,,,,,,1
Observe and Report,0,24007324,10.529143,10/4/09,86,5.6,225,Comedy,Crime,Drama,,robbery,unrequitedlove,securityguard,mall,,,,,,,,,,,,,,,,,,,,,,,16991,RonnieBarnhardt,SethRogen,Brandi,Dennis,MichaelPe\u00f1a,DetectiveHarrison,Nell,ColletteWolfe,en,"Rightnow,theworldneedsahero.",,ObserveandReport,"Bi-polarmallsecurityguardRonnieBarnhardtiscalledintoactiontostopaflasherfromturningshopper'sparadiseintohispersonalpeepshow.ButwhenBarnhardtcan'tbringtheculprittojustice,asurlypolicedetective,isrecruitedtoclosethecase.",,Released,LegendaryPictures,DeLinePictures,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
Conan the Destroyer,18000000,100000000,18.379124,29/6/84,103,5.8,383,Adventure,Fantasy,Action,,swordplay,sword,magic,warriorwoman,lonewolf,wizardry,royalty,barbarian,swordandsorcery,,,,,,,,,,,,,,,,,,9610,Conan,ArnoldSchwarzenegger,Zula,Bombaata,WiltChamberlain,Malak,Akiro'TheWizard',Mako,en,Themostpowerfullegendofallisbackinanewadventure.,,ConantheDestroyer,"BasedonacharactercreatedbyRobertE.Howard,thisfast-paced,occasionallyhumoroussequeltoConantheBarbarianfeaturesthehero(ArnoldSchwarzenegger)asheiscommissionedbytheevilqueenTaramis(SarahDouglas)tosafelyescortateenprincess(OliviaD'Abo)andherpowerfulbodyguard(WiltChamberlain)toafarawaycastletoretrievethemagicHornofDagon.UnknowntoConan,thequeenplanstosacrificetheprincesswhenshereturnsandinheritherkingdomafterthebodyguardkillsConan.Thequeen'splansfailtotakeintoconsiderationConan'sstrengthandcunningandtheabilitiesofhissidekicks:theeccentricwizardAkiro(Mako),thewildwomanZula(GraceJones),andtheineptMalak(TraceyWalter).Togethertheheroandhisalliesmustdefeatbothmortalandsupernaturalfoesinthisvoyagetosword-and-sorceryland.",,Released,DeLaurentiisEntertainmentGroup,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Raging Bull,18000000,23000000,35.524457,14/11/80,129,7.7,938,Drama,,,,transporter,jealousy,violenthusband,paranoia,boxer,biography,fistfight,brokennose,sport,domesticviolence,extremeviolence,over-the-hillfighter,,,,,,,,,,,,,,,1578,JakeLaMotta,RobertDeNiro,JoeyLaMotta,VickieThailer,CathyMoriarty,SalvyBatts,TommyComo,NicholasColasanto,en,,,RagingBull,"WhenJakeLaMottastepsintoaboxingringandobliterateshisopponent,he'saprizefighter.Butwhenhetreatshisfamilyandfriendsthesameway,he'satickingtimebomb,readytogooffatanymoment.ThoughLaMottawantshisfamily'slove,somethingalwaysseemstocomebetweenthem.Perhapsit'shisviolentboutsofparanoiaandjealousy.Thiskindofragehelpedmakehimachamp,butinreallife,hewindsupintheringalone.",,Released,UnitedArtists,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Love Happens,18000000,36133014,13.472365,18/9/09,109,5.6,180,Drama,Romance,,,hotel,florist,forest,grief,seminar,motivationalspeaker,,,,,,,,,,,,,,,,,,,,,25643,Burke,AaronEckhart,EloiseChandler,Marty,JudyGreer,Burke'sFather-in-Law,Burke'sMother-in-Law,DeirdreBlades,en,Sometimeswhenyouleastexpectit...,http://www.lovehappensmovie.com,LoveHappens,"Dr.BurkeRyanisasuccessfulself-helpauthorandmotivationalspeakerwithasecret.Whilehehelpsthousandsofpeoplecopewithtragedyandpersonalloss,hesecretlyisunabletoovercomethedeathofhislatewife.It'snotuntilBurkemeetsafiercelyindependentfloristnamedEloisethatheisforcedtofacehispastandovercomehisdemons.",,Released,UniversalPictures,StuberProductions,Camp/ThompsonPictures,RelativityMedia,ScionFilms,TravelingFilmProductions,,,,,,CA, Canada, GB, United Kingdom, US, United States of America,,,en,English,,,,,,,,,,,1
Young Sherlock Holmes,18000000,0,8.321586,4/12/85,109,6.7,167,Action,Adventure,Crime,Drama,londonengland,schoolfriend,religionandsupernatural,sherlockholmes,murder,aftercreditsstinger,,,,,,,,,,,,,,,,,,,,,11904,SherlockHolmes,NicholasRowe,JohnWatson,ElizabethHardy,SophieWard,ProfessorRathe,Mrs.Dribb,SusanFleetwood,en,"Beforealifetimeofadventure,theylivedtheadventureofalifetime.",,YoungSherlockHolmes,"SherlockHolmesandDr.WatsonmeetasboysinanEnglishBoardingschool.Holmesisknownforhisdeductiveabilityevenasayouth,amazinghisclassmateswithhisabilities.WhentheydiscoveraplottomurderaseriesofBritishbusinessmenbyanEgyptiancult,theymovetostopit.",,Released,ParamountPictures,AmblinEntertainment,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
Fame,0,0,7.668063,1/1/09,107,5.5,135,Music,Comedy,Drama,Romance,musical,duringcreditsstinger,,,,,,,,,,,,,,,,,,,,,,,,,28665,JennyGarrison,KayPanabaker,DeniseDupree,AliceEllerton,KheringtonPayne,Ms.FranRowan,VictorTaveras,WalterPerez,en,,,Fame,"Anupdatedversionofthe1980musical,whichcenteredonthestudentsoftheNewYorkAcademyofPerformingArts.",,Released,UnitedArtists,LakeshoreEntertainment,Metro-Goldwyn-Mayer(MGM),,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
127 Hours,18000000,35692920,52.464877,5/11/10,94,7,2606,Adventure,Drama,Thriller,,mountains,despair,adventure,utah,alone,canyon,climbing,basedontruestory,rescue,survival,escape,TRUE,trapped,boulder,adventurer,flashback,climber,isolated,hikers,verylittledialogue,,,,,,,44115,AronRalston,JamesFranco,KristiMoore,MeganMcBride,AmberTamblyn,Rana,SonjaRalston,LizzyCaplan,en,Thereisnoforcemorepowerfulthanthewilltolive.,,127Hours,ThetruestoryofmountainclimberAronRalston'sremarkableadventuretosavehimselfafterafallenbouldercrashesonhisarmandtrapshiminanisolatedcanyoninUtah.,,Released,FoxSearchlightPictures,WarnerBros.,CloudEightFilms,Path\ue,Film,EverestEntertainment,HandMadeFilms,,,,,GB, United Kingdom, US, United States of America,,,,,en,English,,,,,,,,,,,1
Small Time Crooks,0,0,11.423533,19/5/00,94,6.4,155,Action,Comedy,Crime,,bank,restaurant,roleofwomen,bankrobber,wife,pizzeria,pizza,keks,independentfilm,bankrobbery,hoodlum,,,,,,,,,,,,,,,,10569,Ray,WoodyAllen,CandySalesperson,Frenchy,TraceyUllman,Denny,Tommy,TonyDarrow,en,Theytookabiteoutofcrime,,SmallTimeCrooks,Aloserofacrookandhiswifestrikeitrichwhenabotchedbankjob'scoverbusinessbecomesaspectacularsuccess.,,Released,DreamWorksSKG,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
Center Stage,18000000,17200925,6.961736,12/5/00,115,6.8,90,Drama,Music,,,newyork,competition,dancer,dance,ball,career,balletdancer,music,entranceexamination,ballet,danceteacher,,,,,,,,,,,,,,,,10560,JodySawyer,AmandaSchull,EvaRodr\u00edguez,MaureenCummings,SusanMayPratt,JonathanReeves,Ensemble,ScottieThompson,en,Lifedoesn'tholdtryouts.,,CenterStage,Agroupof12teenagersfromvariousbackgroundsenrollattheAmericanBalletAcademyinNewYorktomakeitasballetdancersandeachonedealswiththeproblemsandstressoftrainingandgettingaheadintheworldofdance.,,Released,ColumbiaPictures,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
Love the Coopers,17000000,24000000,9.191187,12/11/15,107,5.4,167,Comedy,Family,,,bigfamily,familyrelationships,family,womandirector,christmas,,,,,,,,,,,,,,,,,,,,,,333348,Rags(voice),SteveMartin,CharlotteCooper,SamCooper,JohnGoodman,Bucky,Eleanor,OliviaWilde,en,"Christmasmeanscomfort,joyandchaos.",http://www.cbsfilms.com/love-the-coopers/,LovetheCoopers,"WhenfourgenerationsoftheCooperclancometogetherfortheirannualChristmasEvecelebration,aseriesofunexpectedvisitorsandunlikelyeventsturnthenightupsidedown,leadingthemalltowardasurprisingrediscoveryoffamilybondsandthespiritoftheholiday.",,Released,ImagineEntertainment,GroundswellProductions,CBSFilms,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Catch That Kid,18000000,16702864,4.492859,6/2/04,92,4.9,76,Family,Action,Adventure,,bankrobbery,,,,,,,,,,,,,,,,,,,,,,,,,,20483,Madeline\Maddy\RosePhillips,KristenStewart,Austin,Gus,MaxThieriot,MollyPhillips,TomPhillips,SamRobards,en,They'reonamissionwithoutpermission.,,CatchThatKid,"Athletic12-year-oldMaddy(KristenStewart)sharesanenthusiasmformountainclimbingwithherfather,Tom(SamRobards).Unfortunately,TomsuffersaspinalinjurywhilescalingMountEverest,andhisfamilyisunabletoaffordthesurgerythatcansavehim.Maddydecidestogetthemoneyforherfather'soperationbyrobbingahigh-securitybank.Shereliesonherclimbingskillsandhelpfromhergeekyfriends(MaxThieriot,CorbinBleu)topullitoffsuccessfully.",,Released,FoxPictures,MadChance,NimbusFilmProductions,MediastreamDritteFilmGmbH&Co.BeteiligungsKG,SplendidProductions,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
Life as a House,18000000,0,5.706767,25/10/01,125,7.2,120,Drama,,,,fathersonrelationship,house,cancer,drug,divorce,ex-wife,unemployment,,,,,,,,,,,,,,,,,,,,11457,GeorgeMonroe,KevinKline,RobinKimball,SamMonroe,HaydenChristensen,AlyssaBeck,ColleenBeck,MarySteenburgen,en,"Seenfromadistance,it'sperfect.",,LifeasaHouse,"Whenamanisdiagnosedwithterminalcancer,hetakescustodyofhismisanthropicteenageson,forwhomqualitytimemeansgettinghigh,engaginginsmall-timeprostitution,andavoidinghisfather.",,Released,NewLineCinema,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
Steve Jobs,30000000,34441873,53.670525,9/10/15,122,6.8,1573,Drama,History,,,biography,computer,fatherdaughterrelationship,applecomputer,stevejobs,basedontrueevents,,,,,,,,,,,,,,,,,,,,,321697,SteveJobs,MichaelFassbender,JoannaHoffman,SteveWozniak,SethRogen,ChrisannBrennan,JohnSculley,JeffDaniels,en,Canagreatmanbeagoodman?,http://www.stevejobsthefilm.com,SteveJobs,"Setbackstageatthreeiconicproductlaunchesandendingin1998withtheunveilingoftheiMac,SteveJobstakesusbehindthescenesofthedigitalrevolutiontopaintanintimateportraitofthebrilliantmanatitsepicenter.",,Released,UniversalPictures,ScottRudinProductions,LegendaryPictures,TheMarkGordonCompany,Management,CloudEightFilms,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
"I Love You, Beth Cooper",18000000,0,14.15192,10/7/09,102,5.1,197,Comedy,Romance,,,virgin,cheerleader,graduation,highschool,aspen,friends,inthecloset,teenager,popularity,basedonyoungadultnovel,populargirl,,,,,,,,,,,,,,,,19840,BethCooper,HaydenPanettiere,DenisCooverman,Cammy,LaurenLondon,Treece,RichMunsch,JackCarpenter,en,Popularityisnice.Populargirlsarenot.,http://www.iloveyoubethcoopermovie.com/,"ILoveYou,BethCooper","NerdyteenagerDenisCooverman(PaulRust)harborsasecretcrushonBethCooper(HaydenPanettiere),thehottestgirlinhighschool.Duringhisgraduationspeech,DenisletsthecatoutofthebaganddeclareshisloveforBeth,who,insteadofdissingDenis,showsupathishouselaterthatdayandpromisestoshowhimthetimeofhislife.",,Released,IngeniousFilmPartners,Pictures,FoxAtomic,DuneEntertainmentIII,BeceCanadaProductions,,,,,,,CA, Canada, US, United States of America,,,,,en,English,,,,,,,,,,,0
Youth in Revolt,18000000,0,13.462544,11/9/09,87,5.9,319,Drama,Comedy,Romance,,basedonnovel,comingofage,duringcreditsstinger,,,,,,,,,,,,,,,,,,,,,,,,22327,NickTwisp,MichaelCera,Jerry,PaulSaunders,JustinLong,LanceWescott,GeorgeTwisp,SteveBuscemi,en,"Every""Revolution""NeedsALeader",http://youthinrevolt-themovie.com/,YouthinRevolt,"NickTwisp(MichaelCera),ateenwithatasteforthefinerthingsinlifelikeSinatraandFellini,fallshopelesslyinlovewiththebeautiful,free-spiritedSheeniSaunders(PortiaDoubleday)whileonafamilyvacation.Butfamily,geographyandjealousex-loversconspiretokeepthesetwoapart.Nickabandonshisdull,predictablelifeanddevelopsarebelliousalterego:Franí_ois.Withhisascot,hismoustacheandhiscigarette,Franí_oiswillstopatnothingtobewithSheeni,andleadsNickonapathofdestructionwithunpredictableconsequences..",,Released,DimensionFilms,,,,,,,,,,,US, United States of America,,,,,,,en,English,fr,French,,,,,,,,,0
The Legend of the Lone Ranger,18000000,2945600,11.725805,20/8/81,98,3.7,14,Action,Adventure,Romance,Western,loneranger,wildbillhickok,buffalobill,theloneranger,,,,,,,,,,,,,,,,,,,,,,,38665,Maj.Bartholomew'Butch'Cavendish,ChristopherLloyd,SheriffWiatt,AmyStriker,JuaninClay,PresidentUlyssesS.Grant,RangerCaptainDanReid,JohnBennettPerry,en,"Theuntoldstoryofthemanbehindthemask,andthelegendbehindtheman.",,TheLegendoftheLoneRanger,"WhentheyoungTexasRanger,JohnReid,isthesolesurvivorofanambusharrangedbythemilitaristicoutlawleader,ButchCavendich,heisrescuedbyanoldchildhoodComanchefriend,Tonto.Whenherecoversfromhiswounds,hededicateshislifetofightingtheevilthatCavendichrepresents.Tothisend,JohnReidbecomesthegreatmaskedwesternhero,TheLoneRanger.WiththehelpofTonto,thepairgotorescuePresidentGrantwhenCavendichtakeshimhostage.",,Released,ITCEntertainment,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
The Tailor of Panama,21000000,28008462,7.047975,11/2/01,109,6.2,92,Drama,Thriller,,,dancing,spy,birthday,map,fireworks,bridge,secretagent,president,children,independentfilm,debt,swimming,political,band,,,,,,,,,,,,,2575,Andrew\Andy\Osnard,PierceBrosnan,Harold\Harry\Pendel,LouisaPendel,JamieLeeCurtis,Marta,Michelangelo\Mickie\Abraxas,BrendanGleeson,en,"Inaplacethistreacherous,whatagoodspyneedsisaspyofhisown.",,TheTailorofPanama,"ABritishspyisbanishedtoPanamaafterhavinganaffairwithanambassador'smistress.OncetherehemakesconnectionwithalocaltailorwithanefariouspastandconnectionstoallofthetoppoliticalandgangsterfiguresinPanama.Thetailoralsohasawife,whoworksforthePanamanianpresidentandahugedebt.ThemissionistolearnwhatthePresidentintendstodowiththeCanal.",,Released,ColumbiaPictures,MerlinFilms,,,,,,,,,,IE, Ireland, US, United States of America,,,,,en,English,es,"Spanish, Castilian",,,,,,,,,1
Blow Out,18000000,12000000,13.628601,24/7/81,108,7.3,236,Drama,Mystery,Thriller,,audiotape,hitman,presidentialelection,noises,yell,politics,faithlessness,,,,,,,,,,,,,,,,,,,,11644,JackTerry,JohnTravolta,SallyBadina,Burke,JohnLithgow,MannyKarp,Sam,PeterBoyden,en,Murderhasasoundallofitsown!,,BlowOut,"JackTerryisamastersoundrecordistwhoworksongrade-Bhorrormovies.Lateoneevening,heisrecordingsoundsforuseinhismovieswhenhehearssomethingunexpectedthroughhissoundequipmentandrecordsit.Curiositygetsthebetterofhimwhenthemediabecomeinvolved,andhebeginstounravelthepiecesofanefariousconspiracy.Ashestrugglestosurviveagainsthisshadowyenemiesandexposethetruth,hedoesnotknowwhomhecantrust.",,Released,Cinema,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
